item_id,track_id,track_name,artist_names,danceability,energy,valence,acousticness,tempo,cover_url,cover_url_md,spotify_url,cluster_5f
1270,1aU1wpYBSpP0M6IiihY5Ue,renegade,big red machine taylor swift,0.4574850299401198,0.7094706368899917,0.5831578947368421,0.437621494255384,0.7331301882115371,https://i.scdn.co/image/ab67616d0000b273b8abc4de41be8b3158a4ef40,https://i.scdn.co/image/ab67616d00001e02b8abc4de41be8b3158a4ef40,https://open.spotify.com/track/1aU1wpYBSpP0M6IiihY5Ue,0
1271,1aUq8rjW1EwkAkMri4VfJy,lokera,rauw alejandro lyanno brray,0.821556886227545,0.8314722911497104,0.5757894736842105,0.2142797620992038,0.3343853348569217,https://i.scdn.co/image/ab67616d0000b273ee607f4ec65e7c54610be8b1,https://i.scdn.co/image/ab67616d00001e02ee607f4ec65e7c54610be8b1,https://open.spotify.com/track/1aUq8rjW1EwkAkMri4VfJy,0
1272,1abwytAhbWeHrbsA9eODOy,feeling like the end,joji,0.7712574850299403,0.6681141439205956,0.631578947368421,0.3007995322137601,0.6124462663014891,https://i.scdn.co/image/ab67616d0000b273eaac2a7955f5b8967991cacb,https://i.scdn.co/image/ab67616d00001e02eaac2a7955f5b8967991cacb,https://open.spotify.com/track/1abwytAhbWeHrbsA9eODOy,0
1273,1ahCrpeTt94LL7y1aXw0Y8,linda,tokischa rosala,0.887425149700599,0.7539288668320927,0.7147368421052631,0.0689064274299784,0.413110115538788,https://i.scdn.co/image/ab67616d0000b273c25804a0031a10086daba15f,https://i.scdn.co/image/ab67616d00001e02c25804a0031a10086daba15f,https://open.spotify.com/track/1ahCrpeTt94LL7y1aXw0Y8,0
1274,1ahVFh0ViDZr8LvkEVlq3B,no sleep feat bonn,martin garrix bonn,0.3473053892215569,0.6339950372208437,0.3105263157894736,0.1297720796617302,0.4922339312813258,https://i.scdn.co/image/ab67616d0000b273aeec124221f2c23932be51b2,https://i.scdn.co/image/ab67616d00001e02aeec124221f2c23932be51b2,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,1
1275,1b6tPXXCV2fSNtR3SKWUQA,available,justin bieber,0.6610778443113773,0.6060794044665012,0.5947368421052631,0.0740372510065393,0.1710651213127044,https://i.scdn.co/image/ab67616d0000b2737fe4a82a08c4f0decbeddbc6,https://i.scdn.co/image/ab67616d00001e027fe4a82a08c4f0decbeddbc6,https://open.spotify.com/track/1b6tPXXCV2fSNtR3SKWUQA,0
1276,1bDbXMyjaUIooNwFE9wn0N,rich flex,drake 21 savage,0.4922155688622756,0.5150951199338296,0.4126315789473683,0.0505964295685258,0.6434863572331151,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,https://i.scdn.co/image/ab67616d00001e0202854a7060fccc1a66a4b5ad,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N,1
1277,1bRO28yzxgO3y3UmNR29TZ,i do it ft big sean lil baby,lil wayne big sean lil baby,0.7832335329341319,0.5233664185277089,0.3042105263157895,0.1257479043075648,0.5519199027805488,https://i.scdn.co/image/ab67616d0000b2731fceb0586044165d23cb0197,https://i.scdn.co/image/ab67616d00001e021fceb0586044165d23cb0197,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ,1
1278,1bRpSCFv6P2OUhciByeRYR,jangueo,alex rose rafa pabn,0.8514970059880241,0.6784532671629446,0.7273684210526316,0.2545215156408579,0.3462898808336205,https://i.scdn.co/image/ab67616d0000b273462c6ba1c246cc8aeb62086c,https://i.scdn.co/image/ab67616d00001e02462c6ba1c246cc8aeb62086c,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR,0
1279,1bWBG6IkMnDr3qvCKSvQT7,baby me atende  ao vivo,matheus fernandes dilsinho,0.598802395209581,0.7963192721257238,0.8842105263157894,0.6106610344844967,0.6487886867514314,https://i.scdn.co/image/ab67616d0000b273208b51937686ef6a2a92b2f8,https://i.scdn.co/image/ab67616d00001e02208b51937686ef6a2a92b2f8,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7,0
1280,1bhUWB0zJMIKr9yVPrkEuI,perfect duet ed sheeran  beyonc,ed sheeran beyonc,0.5233532934131737,0.2866004962779156,0.3410526315789474,0.7837005747136093,0.2918639169523395,https://i.scdn.co/image/ab67616d0000b273af6b2fca3b6e24612a5fe5d8,https://i.scdn.co/image/ab67616d00001e02af6b2fca3b6e24612a5fe5d8,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,2
1281,1bjeWoagtHmUKputLVyDxQ,saturn,sza,0.3125748502994012,0.6174524400330852,0.3210526315789473,0.6237396043855342,0.7933482064583222,https://i.scdn.co/image/ab67616d0000b273358f9708c2cc44b153577238,https://i.scdn.co/image/ab67616d00001e02358f9708c2cc44b153577238,https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ,2
1282,1bjhYUwKUHEg5fHknxFObO,lost,frank ocean,0.9125748502994014,0.5916046319272126,0.5073684210526316,0.0320852229393649,0.4616231053392099,https://i.scdn.co/image/ab67616d0000b273d75f9bcceee0bda633d23edf,https://i.scdn.co/image/ab67616d00001e02d75f9bcceee0bda633d23edf,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO,0
1283,1c0hsvHLELX6y8qymnpLKL,soltera remix,lunay daddy yankee bad bunny,0.7724550898203595,0.7870140612076096,0.8073684210526316,0.363174250203324,0.2738347873929105,https://i.scdn.co/image/ab67616d0000b27358e34ee7bc215e1b03ff78d4,https://i.scdn.co/image/ab67616d00001e0258e34ee7bc215e1b03ff78d4,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,0
1284,1c1sdxrYLIiuJOlE7PPttb,love me now feat zoe wees,kygo zoe wees,0.6131736526946109,0.4830438378825475,0.4989473684210526,0.1639775701721362,0.334476024643438,https://i.scdn.co/image/ab67616d0000b273353f27640b505452fbcad7ef,https://i.scdn.co/image/ab67616d00001e02353f27640b505452fbcad7ef,https://open.spotify.com/track/1c1sdxrYLIiuJOlE7PPttb,1
1285,1c39AwcrkN9srI7Az5662I,night rider,joji,0.740119760479042,0.7570306038047974,0.0071578947368421,0.6207214728699102,0.2315491629332705,https://i.scdn.co/image/ab67616d0000b273eaac2a7955f5b8967991cacb,https://i.scdn.co/image/ab67616d00001e02eaac2a7955f5b8967991cacb,https://open.spotify.com/track/1c39AwcrkN9srI7Az5662I,2
1286,1c4htMHiolERc0YJvZNdlc,vai l em casa hoje,george henrique  rodrigo marlia mendona,0.3664670658682636,0.8356079404466501,0.6178947368421053,0.5331956589168125,0.6705602815010974,https://i.scdn.co/image/ab67616d0000b273e3db1dee62f463e810ccfdc2,https://i.scdn.co/image/ab67616d00001e02e3db1dee62f463e810ccfdc2,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc,0
1287,1cA4wEmLkKlttS6N89LbJh,wandered to la with justin bieber,juice wrld justin bieber,0.6431137724550899,0.6422663358147229,0.4063157894736842,0.0521054953263378,0.5341628425806686,https://i.scdn.co/image/ab67616d0000b273c820e86be3bcbc65e5b88ef0,https://i.scdn.co/image/ab67616d00001e02c820e86be3bcbc65e5b88ef0,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh,1
1288,1cCXT1cErAY6tmIqHbodrt,the remorse,drake,0.3868263473053892,0.5254342431761787,0.6368421052631579,0.816900021385474,0.1693722452977345,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f,https://i.scdn.co/image/ab67616d00001e02cd945b4e3de57edd28481a3f,https://open.spotify.com/track/1cCXT1cErAY6tmIqHbodrt,2
1289,1cEhrSF6EylAEqdhUGuNpX,let it go feat justin bieber  21 savage,dj khaled 21 savage justin bieber,0.8706586826347306,0.4365177832919768,0.6589473684210526,0.2414429457398203,0.4978385600880295,https://i.scdn.co/image/ab67616d0000b273dcd4d70294f17175991ba1bb,https://i.scdn.co/image/ab67616d00001e02dcd4d70294f17175991ba1bb,https://open.spotify.com/track/1cEhrSF6EylAEqdhUGuNpX,0
1290,1cG0umU5TKStygKsPFZ9pY,shed a light,robin schulz david guetta cheat codes,0.3988023952095809,0.7911497105045493,0.5768421052631578,0.1126693344065272,0.4555045677422476,https://i.scdn.co/image/ab67616d0000b2737be189f322bc8155c103d6c9,https://i.scdn.co/image/ab67616d00001e027be189f322bc8155c103d6c9,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,0
1291,1cImYkHOQMFE7AZC9aOk4y,jingle bell rock,bobby helms,0.7077844311377246,0.3289909015715467,0.8484210526315789,0.6177033413542862,0.4406798106397256,https://i.scdn.co/image/ab67616d0000b273d1d4c581bf75c77d481c7420,https://i.scdn.co/image/ab67616d00001e02d1d4c581bf75c77d481c7420,https://open.spotify.com/track/1cImYkHOQMFE7AZC9aOk4y,2
1292,1cKHdTo9u0ZymJdPGSh6nq,i was never there,the weeknd gesaffelstein,0.207185628742515,0.739454094292804,0.1294736842105263,0.1428506495627678,0.4023119849575874,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,https://i.scdn.co/image/ab67616d00001e021f6a2a40bb692936879db730,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq,1
1293,1cS0TgbR263ey9jn0MwD2s,river feat ed sheeran,eminem ed sheeran,0.7161676646706588,0.7518610421836228,0.66,0.1428506495627678,0.2622264947188314,https://i.scdn.co/image/ab67616d0000b273dee6b58d35215322626b5701,https://i.scdn.co/image/ab67616d00001e02dee6b58d35215322626b5701,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s,0
1294,1cVlW9WQiGlFdWUXFdFZGh,pa olvidarme de ella,piso 21 christian nodal,0.6922155688622755,0.5378411910669976,0.6368421052631579,0.260557778672106,0.261779091772018,https://i.scdn.co/image/ab67616d0000b27326dfdcfae1c961172197a362,https://i.scdn.co/image/ab67616d00001e0226dfdcfae1c961172197a362,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,0
1295,1ckLp8lCl8LipXI0ypX72m,im gonna be,post malone,0.7137724550898205,0.555417700578991,0.3536842105263157,0.7072412429844664,0.4306253363079583,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02,https://open.spotify.com/track/1ckLp8lCl8LipXI0ypX72m,2
1296,1crSsvtU9wZB15dIQXV2QH,moving on and getting over,john mayer,0.8383233532934132,0.4540942928039702,0.62,0.594564333067835,0.2860900005441387,https://i.scdn.co/image/ab67616d0000b2730e0d1437c1aa269878d5480d,https://i.scdn.co/image/ab67616d00001e020e0d1437c1aa269878d5480d,https://open.spotify.com/track/1crSsvtU9wZB15dIQXV2QH,2
1297,1d7q712nXjG98HiwHk7HFS,a p p l y i n g  p r e s s u r e,j cole,0.6574850299401198,0.7622001654259719,0.391578947368421,0.0818843929471618,0.2199166863161204,https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,https://i.scdn.co/image/ab67616d00001e0210e6745bb2f179dd3616b85f,https://open.spotify.com/track/1d7q712nXjG98HiwHk7HFS,1
1298,1dIWPXMX4kRHj6Dt2DStUQ,chosen feat ty dolla ign,blxst tyga ty dolla ign,0.5041916167664671,0.7704714640198511,0.6031578947368421,0.3380231542397902,0.282365673311205,https://i.scdn.co/image/ab67616d0000b2734dd2991fe759c7205f31eabb,https://i.scdn.co/image/ab67616d00001e024dd2991fe759c7205f31eabb,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ,0
1299,1dLXLETYiZohIZWnse4ypG,better,zayn,0.5832335329341318,0.4096360628618692,0.0512631578947368,0.3551258994949931,0.2271900071947231,https://i.scdn.co/image/ab67616d0000b273ac5ff0a6d1b8789ec44f7ddd,https://i.scdn.co/image/ab67616d00001e02ac5ff0a6d1b8789ec44f7ddd,https://open.spotify.com/track/1dLXLETYiZohIZWnse4ypG,2
1300,1dPNJDYuW9QAtkOpK3eBvO,god breathed,kanye west,0.2095808383233533,0.2990074441687345,0.0493684210526315,0.2907390938283466,0.2782725409464385,https://i.scdn.co/image/ab67616d0000b2736ba1cffc9b2c5469503430b3,https://i.scdn.co/image/ab67616d00001e026ba1cffc9b2c5469503430b3,https://open.spotify.com/track/1dPNJDYuW9QAtkOpK3eBvO,2
1301,1dUHF4RyMmMTveJ0Rby6Xm,cant take a joke,drake,0.7317365269461079,0.5957402812241522,0.4357894736842105,0.1267539481461062,0.7689224239566139,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,https://i.scdn.co/image/ab67616d00001e02f907de96b9a4fbc04accc0d5,https://open.spotify.com/track/1dUHF4RyMmMTveJ0Rby6Xm,1
1302,1daDRI9ahBonbWD8YcxOIB,angels like you,miley cyrus,0.6251497005988026,0.641232423490488,0.4863157894736842,0.0986853250508024,0.4550390268381307,https://i.scdn.co/image/ab67616d0000b273136d46f65c783bd9742dfc6d,https://i.scdn.co/image/ab67616d00001e02136d46f65c783bd9742dfc6d,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,1
